,"Heure locale
access_time
30mn
METAR",,Température,Temps,Pluie,Vent,Humidité,Bio-météo,Pt. de rosée,Pression,Visibilité
79,2023-01-04 17:00:00,add_circle_outline,"14.0 °C
13.9 → 14.2",,0 mm/1h,"18 km/h

raf.43.2",88%,11 ,12 °C,1025.6hPa,55 km
80,2023-01-04 16:00:00,add_circle_outline,"14.2 °C
14.1 → 14.3",,0 mm/1h,"25 km/h

raf.40.7",87%,50 ,12.1 °C,1025.5hPa,55 km
81,2023-01-04 15:00:00,add_circle_outline,"14.2 °C
14.1 → 14.4",,0 mm/1h,"22 km/h

raf.40.3",89%,56 ,12.4 °C,1025.5hPa,40 km
82,2023-01-04 14:00:00,add_circle_outline,"14.2 °C
13.9 → 14.2",,0 mm/1h,"18 km/h

raf.38.9",91%,75 ,12.8 °C,1025.8hPa,35 km
83,2023-01-04 13:00:00,add_circle_outline,"14.0 °C
13.9 → 14",,0 mm/1h,"22 km/h

raf.39.2",92%,58 ,12.7 °C,1026.0hPa,15 km
84,2023-01-04 12:00:00,add_circle_outline,"13.9 °C
13.8 → 13.9",,0 mm/1h,"22 km/h

raf.44.6",90%,53 ,12.3 °C,1026.3hPa,45 km
85,2023-01-04 11:00:00,add_circle_outline,"13.8 °C
13.2 → 13.8",,0 mm/1h,"22 km/h

raf.41",90%,28 ,12.2 °C,1026.1hPa,50 km
86,2023-01-04 10:00:00,add_circle_outline,"13.2 °C
13.2 → 13.3",,0.2 mm/1h,"22 km/h

raf.41",95%,,12.4 °C,1025.8hPa,12 km
87,2023-01-04 09:00:00,add_circle_outline,"13.3 °C
13.1 → 13.3",,0 mm/1h,"22 km/h

raf.41.4",93%,,12.2 °C,1025.4hPa,12 km
88,2023-01-04 08:00:00,add_circle_outline,"13.2 °C
13 → 13.2",,0 mm/1h,"22 km/h

raf.41",92%,,11.9 °C,1025.0hPa,13 km
89,2023-01-04 07:00:00,add_circle_outline,"13.1 °C
12.9 → 13.2",,0 mm/1h,"25 km/h

raf.45.7",92%,,11.8 °C,1024.9hPa,10 km
90,2023-01-04 06:00:00,add_circle_outline,"12.9 °C
12.8 → 13",,0.2 mm/1h,"22 km/h

raf.36",94%,,12 °C,1024.7hPa,16 km
91,2023-01-04 05:00:00,add_circle_outline,"13.0 °C
12.8 → 13",,0 mm/1h,"18 km/h

raf.36",91%,,11.6 °C,1024.9hPa,17 km
92,2023-01-04 04:00:00,add_circle_outline,"12.8 °C
12.7 → 13",,0.2 mm/1h,"22 km/h

raf.36.7",93%,,11.7 °C,1025.3hPa,14 km
93,2023-01-04 03:00:00,add_circle_outline,"12.9 °C
12.7 → 13",,0 mm/1h,"22 km/h

raf.42.5",91%,,11.5 °C,1025.1hPa,10 km
94,2023-01-04 02:00:00,add_circle_outline,"12.7 °C
12.7 → 12.8",,0 mm/1h,"25 km/h

raf.47.2",96%,,12.1 °C,1024.7hPa,6 km
95,2023-01-04 01:00:00,add_circle_outline,"12.7 °C
12.4 → 12.7",,0.2 mm/1h,"25 km/h

raf.47.5",95%,,11.9 °C,1025.0hPa,12 km
96,2023-01-05 00:00:00,add_circle_outline,"11.1 °C
11 → 11.3",,0 mm/1h,"18 km/h
raf.29.9",92%,,9.8 °C,1022.9hPa,60 km
97,2023-01-05 23:00:00,add_circle_outline,"11.3 °C
11.1 → 11.3",,0 mm/1h,"18 km/h

raf.33.5",91%,,9.9 °C,1023.2hPa,45 km
98,2023-01-05 22:00:00,add_circle_outline,"11.1 °C
11 → 11.2",,0 mm/1h,"14 km/h
raf.25.9",92%,,9.8 °C,1023.4hPa,15 km
99,2023-01-05 21:00:00,add_circle_outline,"11.0 °C
11 → 11.3",,0 mm/1h,"14 km/h

raf.31",91%,,9.6 °C,1023.9hPa,60 km
100,2023-01-05 20:00:00,add_circle_outline,"11.3 °C
11.1 → 11.4",,0 mm/1h,"11 km/h
raf.23.8",92%,,10 °C,1024.0hPa,55 km
101,2023-01-05 19:00:00,add_circle_outline,"11.3 °C
11.3 → 11.8",,0 mm/1h,"11 km/h
raf.25.6",92%,,10 °C,1024.1hPa,15 km
